,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2806,117094786,4035123203,35.55,35.8,33.4,31.79,44165,76.90415526,75.22936587,71.87978707,59.33504637651899,66.81981984207138,-0.2515127901229548,-18.181818181818223,-9.302325581395372,1
2807,85289510,2951377347,34.4,34.95,34.0,32.46,29732,77.72777018,76.0621673,72.73096156,62.24705256067765,71.81378472806055,-0.0882062595541392,0.0,0.0,1
2808,77460374,2633091782,34.65,34.7,33.65,32.965,27091,71.97980377,74.70137946,80.14453083,57.95075036182086,61.379916549117816,0.0559265724873685,-94.11764705882304,-16.494845360824677,1
2809,64157082,2178946970,34.3,34.45,32.7,33.385,22427,67.62939299,72.34405064,81.77336593,58.54093712933932,62.60245667451571,0.1827517149460799,-76.47058823529382,-18.309859154929534,1
2810,58263183,1992950791,34.8,34.95,33.65,33.565000000000005,20770,62.34816676,69.01208934,82.33993452,56.2260480067127,56.84425981428256,0.285282054836666,-100.0,-29.57746478873231,1
2811,58584240,1944695018,33.9,33.9,32.85,33.705,20952,47.51782546,61.84733471,90.50635323,51.98617954255661,47.09721659781777,0.3545940458302629,-100.0,-50.70422535211259,1
2812,55629695,1864429782,33.1,33.9,33.0,33.935,21036,38.88575751,54.19347565,84.80891192,54.73932981075761,54.03327179895522,0.4074187073985486,-52.17391304347845,-69.44444444444456,0
2813,171971957,5973470539,33.95,35.7,33.85,33.97,58805,39.43735185,49.27476772,68.94959944,58.10272189059542,61.702049495254165,0.4573797757692732,0.0,-30.555555555555447,0
2814,87281691,3043660411,34.85,35.2,34.45,34.055,29525,51.0227507,49.85742871,47.52678473,61.68236587029248,68.83304446564459,0.5146480293761805,0.0,0.0,1
2815,80694799,2754392091,34.75,34.85,33.55,33.970000000000006,30540,44.57072269,48.09519337,55.14413473,53.23891990626854,49.98585018570358,0.5507827401400446,-65.85365853658553,-65.85365853658553,1
2816,60649957,2040844770,33.3,34.45,32.95,34.025000000000006,22768,49.15825957,48.44954877,47.03212717,57.06957294586004,58.1369790357908,0.5832853019134911,-36.66666666666647,-26.829268292682823,1
