date,dividend,PE,netWorth,season
101年07月09日,24.62,3.27,2.68,0
101年07月10日,23.72,3.40,2.58,0
101年07月11日,23.68,3.40,2.58,0
101年07月12日,22.92,3.52,2.50,0
101年07月13日,22.20,3.63,2.42,0
101年07月16日,21.80,3.70,2.37,0
101年07月17日,22.43,3.59,2.44,0
101年07月18日,22.02,3.66,2.40,0
101年07月19日,22.20,3.63,2.42,0
101年07月20日,22.38,3.60,2.44,0
101年07月23日,21.80,3.70,2.37,0
101年07月24日,21.80,3.70,2.37,0
101年07月25日,21.58,3.73,2.35,0
101年07月26日,21.17,3.81,2.31,0
101年07月27日,21.49,3.75,2.34,0
101年07月30日,22.11,3.64,2.41,0
101年07月31日,22.83,3.53,2.49,0
101年08月01日,24.40,3.30,2.66,0
101年08月03日,24.98,3.23,2.72,0
101年08月06日,24.62,3.27,2.68,0
101年08月07日,25.16,3.20,2.74,0
101年08月08日,25.25,3.19,2.75,0
101年08月09日,25.25,3.19,2.75,0
101年08月10日,25.43,3.17,2.77,0
101年08月13日,26.28,3.07,2.86,0
101年08月14日,26.05,3.09,2.84,0
101年08月15日,25.47,3.16,2.77,0
101年08月16日,26.14,3.08,2.85,0
101年08月17日,26.37,3.06,2.87,0
101年08月20日,26.68,3.02,2.91,0
101年08月21日,26.86,3.00,2.92,0
101年08月22日,27.08,2.98,2.95,0
101年08月23日,32.84,2.88,3.58,0
101年08月24日,33.47,2.83,3.65,0
101年08月27日,33.58,2.82,3.66,0
101年08月28日,33.16,2.86,3.61,0
101年08月29日,33.68,2.81,3.67,0
101年08月30日,33.32,2.84,3.63,0
