X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
172,1999/9/13,3173921,172693155,53.1,55.5,53,55.3,2.4,1456,1,51.6,55.5,94.87179487,56.05863673,44.22338459,20.55288032
173,1999/9/14,5090147,282856681,55.6,56.4,54.3,55.6,0.3,2116,1,52.2,56.4,80.95238095,64.35655147,50.93444022,24.09021772
174,1999/9/15,4403961,248748004,56.4,57.3,56,56.3,0.7,2019,0,52.2,57.3,80.39215686,69.70175327,57.19021124,32.16712717
175,1999/9/16,2013613,112634904,56.3,56.5,55.5,55.9,-0.4,964,1,52.2,57.3,72.54901961,70.65084205,61.67708817,43.72958042
176,1999/9/17,3055379,172568364,56.9,57.2,55.9,56.1,0.2,1183,0,52.2,57.3,76.47058824,72.59075744,65.31497793,50.7634189
177,1999/9/20,1287383,72164332,56.3,56.5,55.5,55.7,-0.4,641,1,52.2,57.3,68.62745098,71.26965529,67.29987038,59.36030057
178,1999/9/21,2054221,116071386,56,56.9,56,56.5,0.8,834,0,52.2,57.3,84.31372549,75.61767869,70.07247315,58.98206208
179,1999/9/23,624726,35262650,56.5,57,56.2,56.2,-0.3,374,0,52.6,57.3,76.59574468,75.94370069,72.029549,64.20124562
180,1999/9/24,624028,34775180,56.2,56.5,55.5,55.9,-0.3,389,0,53,57.3,67.44186047,73.10975395,72.38961731,70.94934405
181,1999/9/27,1062201,58885655,56.2,56.4,54.7,54.7,-1.2,595,1,54.3,57.3,13.33333333,53.18428041,65.98783835,91.59495422
182,1999/9/28,628482,34329015,54.2,55.2,54.2,54.9,0.2,365,1,54.2,57.3,22.58064516,42.98306866,58.31958178,88.99260803
183,1999/9/29,555470,30665701,55.1,55.5,55,55.1,0.2,367,1,54.2,57.2,30,38.65537911,51.76484756,77.98378446
184,1999/9/30,627604,34929841,55.1,56.2,55.1,56,0.9,354,0,54.2,57.2,60,45.77025274,49.76664928,57.75944238
185,1999/10/1,621087,34572299,56.4,56.4,55.3,55.5,-0.5,376,0,54.2,57,46.42857143,45.9896923,48.50766362,53.54360627
186,1999/10/4,743943,41356279,55.7,56.3,55,55.1,-0.4,552,0,54.2,57,32.14285714,41.37408058,46.12980261,55.64124666
187,1999/10/5,647433,34999211,55.1,55.1,53.2,54.2,-0.9,350,1,53.2,57,26.31578947,36.35465021,42.87141848,55.90495501
188,1999/10/6,468300,25616690,55,55.4,54.2,54.6,0.4,289,0,53.2,56.5,42.42424242,38.37784762,41.37356152,47.36498934
189,1999/10/7,1119826,59859072,54,54.5,53,53.6,-1,689,0,53,56.4,17.64705882,31.46758469,38.07156924,51.27953836
190,1999/10/8,781200,42156140,53.6,54.6,53.2,53.2,-0.4,454,0,53,56.4,5.882352941,22.9391741,33.02743753,53.20396438
191,1999/10/11,521393,27572171,53.2,53.5,52.5,52.9,-0.3,320,1,52.5,56.4,10.25641026,18.71158615,28.25548707,47.34328891
